부서1,부서2,부서3,부서4,부서5,부서6,직급,정원수
,,TestTimestamp,,,,,1
고용노동부,본부,장관,장관실,장관실,장관,장관,1
고용노동부,본부,장관,장관실,장관실,장관,고위공무원단,1
고용노동부,본부,장관,장관실,장관실,장관,3급상당또는4급상당,1
고용노동부,본부,장관,장관실,장관실,장관,6급,1
고용노동부,본부,차관,차관실,차관실,차관,차관,1
고용노동부,본부,차관,차관실,차관실,차관,6급,1
고용노동부,본부,산업안전보건본부,산업안전보건본부,산업안전보건본부,산업안전보건본부,차관,1
고용노동부,본부,차관,대변인실,대변인실,대변인,고위공무원단 가급,1
고용노동부,본부,차관,감사관,감사관,감사관,고위공무원단 나급,1
고용노동부,본부,차관,기획조정실,기획조정실,기획조정실,고위공무원단 가급,1
고용노동부,본부,차관,기획조정실,정책기획관,정책기획관,고위공무원단 나급,1
고용노동부,본부,차관,기획조정실,국제협력관,국제협력관,고위공무원단 나급,1
고용노동부,본부,차관,고용정책실,고용정책실,고용정책실,고위공무원단 가급,1
고용노동부,본부,차관,고용정책실,노동시장정책관,노동시장정책관,고위공무원단 나급,1
고용노동부,본부,차관,고용정책실,고용서비스정책관,고용서비스정책관,고위공무원단 나급,1
고용노동부,본부,차관,고용정책실,고용서비스정책관,고용보험심사위원회,고위공무원단 임기제:나급,1
고용노동부,본부,차관,고용정책실,고용지원정책관,고용지원정책관,고위공무원단 나급,1
고용노동부,본부,차관,고용정책실,통합고용정책국,통합고용정책국,고위공무원단 나급,1
고용노동부,본부,차관,고용정책실,청년고용정책관,청년고용정책관,고위공무원단 나급,1
고용노동부,본부,차관,고용정책실,직업능력정책국,직업능력정책국,고위공무원단 나급,1
고용노동부,본부,차관,노동정책실,노동정책실,노동정책실,고위공무원단 가급,1
고용노동부,본부,차관,노동정책실,노동정책관,노동정책관,고위공무원단 나급,1
고용노동부,본부,차관,노동정책실,노사협력정책관,노사협력정책관,고위공무원단 나급,1
고용노동부,본부,차관,노동정책실,근로기준정책관,근로기준정책관,고위공무원단 나급,1
고용노동부,본부,차관,노동정책실,근로감독정책단,근로감독정책단,고위공무원단 나급,1
고용노동부,본부,산업안전보건본부,산업안전보건정책실,산업안전보건정책실,산업안전보건정책실,고위공무원단 가급,1
고용노동부,본부,산업안전보건본부,산업안전보건정책실,산업안전예방정책관,산업안전예방정책관,고위공무원단 나급,1
고용노동부,본부,산업안전보건본부,산업안전보건정책실,산업보건보상정책관,산업보건보상정책관,고위공무원단 나급,1
고용노동부,본부,산업안전보건본부,산업안전보건정책실,안전보건감독국,안전보건감독국,고위공무원단 나급,1
고용노동부,본부,장관,장관실,장관실,장관실,서기관 또는 행정사무관,1
고용노동부,본부,장관,장관실,장관실,장관실,서기관 또는 행정사무관,1
고용노동부,본부,장관,장관실,장관실,장관실,행정사무관,1
고용노동부,본부,장관,장관실,장관실,장관실,행정서기,1
고용노동부,본부,장관,장관실,장관실,장관실,사무운영서기보,1
고용노동부,본부,차관,차관실,차관실,차관실,행정사무관,1
고용노동부,본부,차관,차관실,차관실,차관실,사무운영서기보,1
고용노동부,본부,차관,대변인실,대변인실,홍보담당관,서기관 또는 과학기술서기관,1
고용노동부,본부,차관,대변인실,대변인실,홍보담당관,행정사무관,1
고용노동부,본부,차관,대변인실,대변인실,홍보담당관,행정·통계·공업·보건· 시설·전산 또는 기록연구관,1
고용노동부,본부,차관,대변인실,대변인실,홍보담당관,행정·통계·공업·보건· 시설·전산 또는 기록연구관,1
고용노동부,본부,차관,대변인실,대변인실,홍보담당관,행정·통계·직업상담·공업· 보건·시설 또는 전산주사,1
고용노동부,본부,차관,대변인실,대변인실,홍보담당관,사무운영서기보,1
고용노동부,본부,차관,대변인실,대변인실,홍보담당관,전문경력관 나군(촬영),1
고용노동부,본부,차관,대변인실,대변인실,디지털소통팀,서기관·과학기술서기관· 행정·공업·보건 또는 시설사무관,1
고용노동부,본부,차관,대변인실,대변인실,디지털소통팀,행정·통계·공업·보건· 시설·전산 또는 기록연구관,1
고용노동부,본부,차관,대변인실,대변인실,디지털소통팀,행정·통계·공업·보건· 시설·전산 또는 기록연구관,1
고용노동부,본부,차관,대변인실,대변인실,디지털소통팀,행정·통계·공업·보건· 시설·전산 또는 기록연구관,1
고용노동부,본부,차관,대변인실,대변인실,디지털소통팀,행정·공업·보건·시설 또는 전산주사,1
